"","condition","icnarcCode","surgicalCode","medicalCode","tailCode","duplicateCode","system","site","process","conditionTier","admission_freq"
"369","Mediastinal tumour","RE73","1.1.5.39.2","2.1.5.39.2","1.5.39.2",0,"Respiratory",5,"Tumour or malignancy",2,NA
"370","Extrinsic compression of bronchus by tumour","RE46","1.1.2.30.5","2.1.2.30.5","1.2.30.5",0,"Respiratory",2,"Obstruction",5,NA
"371","Henoch-Schonlein purpura","HA17","1.9.1.14.7","2.9.1.14.7","9.1.14.7",0,"Haematological/Immunological",1,"Haemolysis or thrombocytopaenia",7,NA
"372","Eating disorder","EN22","1.8.9.36.1","2.8.9.36.1","8.9.36.1",0,"Endocrine, Metabolic, Thermoregulation and Poisoning",9,"Starvation",1,NA
"373","Empyema or infected effusion","RE36","1.1.5.27.2","2.1.5.27.2","1.5.27.2",0,"Respiratory",5,"Infection",2,NA
"374","Water depletion","EN72","1.8.8.18.2","2.8.8.18.2","8.8.18.2",0,"Endocrine, Metabolic, Thermoregulation and Poisoning",8,"Hypernatraemia",2,NA
"375","Lung collapse or atelectasis","RE67","1.1.4.6.1","2.1.4.6.1","1.4.6.1",0,"Respiratory",4,"Collapse",1,NA
"376","Non-accidental injury to skin","DE8","1.5.7.1.4","2.5.7.1.4","5.7.1.4",1,"Dermatological",1,"Trauma",4,NA
"377","Haemorrhage from coronary arteries","CA45","1.2.1.15.1","2.2.1.15.1","2.1.15.1",0,"Cardiovascular",1,"Haemorrhage",1,NA
"378","Pulmonary arterio-venous malformations","CA93","1.1.3.8.2","2.1.3.8.2","1.3.8.2",1,"Respiratory",3,"Congenital or acquired deformity or abnormality",2,NA
"379","Portal hypertension","GA107","1.2.8.30.12","2.2.8.30.12","2.8.30.12",1,"Cardiovascular",8,"Obstruction",12,NA
"380","Necrotising fasciitis","DE7","1.3.10.27.5","2.3.10.27.5","3.10.27.5",2,"Gastrointestinal",10,"Infection",5,NA
"381","Aortic root abscess","CA12","1.2.4.27.5","2.2.4.27.5","2.4.27.5",1,"Cardiovascular",4,"Infection",5,NA
"382","Infection of prosthetic heart valve","CA61","1.2.4.27.6","2.2.4.27.6","2.4.27.6",0,"Cardiovascular",4,"Infection",6,NA
"383","Drug dependence","PS4","1.12.1.48.2","2.12.1.48.2","12.1.48.2",0,"Psychiatric",1,"Alcohol or drug dependence",2,NA
"384","Haemorrhage or haematoma from vertebral column","MU4","1.5.6.1.4","2.5.6.1.4","5.6.1.4",1,"Musculoskeletal",1,"Trauma",4,NA
"385","Tracheal stenosis","RE114","1.1.1.30.7","2.1.1.30.7","1.1.30.7",0,"Respiratory",1,"Obstruction",7,NA
"386","Bleeding from prostate gland","GE16","1.7.5.15.1","2.7.5.15.1","7.5.15.1",0,"Genito-urinary",5,"Haemorrhage",1,NA
"387","Pulmonary vasculitis not defined","RE84","1.1.3.15.2","2.1.3.15.2","1.3.15.2",4,"Respiratory",3,"Haemorrhage",2,NA
"388","Cervical spine fracture or ligamentous injury","MU26","1.5.6.1.1","2.5.6.1.1","5.6.1.1",1,"Musculoskeletal",1,"Trauma",1,NA
"389","Non-valvular endocarditis","CA86","1.2.2.27.4","2.2.2.27.4","2.2.27.4",1,"Cardiovascular",2,"Infection",4,NA
"390","Idiopathic thrombocytopaenic purpura","HA19","1.9.1.14.4","2.9.1.14.4","9.1.14.4",0,"Haematological/Immunological",1,"Haemolysis or thrombocytopaenia",4,NA
"391","Instrumental damage to pulmonary vessels","RE25","1.1.3.38.2","2.1.3.38.2","1.3.38.2",1,"Respiratory",3,"Trauma",2,NA
"392","Ischaemic cardiomyopathy","CA69","1.2.2.41.1","2.2.2.41.1","2.2.41.1",0,"Cardiovascular",2,"Vascular",1,NA
"393","Autoimmune polyneuropathy","NE3","1.4.4.28.3","2.4.4.28.3","4.4.28.3",0,"Neurological (including eyes)",4,"Inflammation",3,NA
"394","Uterine rupture or perforation","GE57","1.5.5.3.1","2.5.5.3.1","5.5.3.1",3,"Genito-urinary",3,"Trauma",1,NA
"395","Upper limb artery aneurysm or dissection","CA120","1.2.10.11.1","2.2.10.11.1","2.10.11.1",0,"Cardiovascular",10,"Dissection or aneurysm",1,NA
"396","Anaemias","HA3","1.9.1.8.1","2.9.1.8.1","9.1.8.1",0,"Haematological/Immunological",1,"Congenital or acquired deformity or abnormality",1,NA
"397","Infective pericarditis","CA62","1.2.3.27.1","2.2.3.27.1","2.3.27.1",0,"Cardiovascular",3,"Infection",1,NA
"398","Diverticulitis or diverticular abscess","GA24","1.3.6.27.3","2.3.6.27.3","3.6.27.3",1,"Gastrointestinal",6,"Infection",3,NA
"399","Electrical burns","DE3","1.5.7.1.1","2.5.7.1.1","5.7.1.1",1,"Dermatological",1,"Trauma",1,NA
"400","Hypoparathyroidism","EN34","1.8.8.21.1","2.8.8.21.1","8.8.21.1",0,"Endocrine, Metabolic, Thermoregulation and Poisoning",8,"Hypocalcaemia",1,NA
"401","Kawasaki syndrome","CA72","1.2.1.28.1","2.2.1.28.1","2.1.28.1",0,"Cardiovascular",1,"Inflammation",1,NA
"402","Hypercalcaemia","EN29","1.8.5.32.1","2.8.5.32.1","8.5.32.1",0,"Endocrine, Metabolic, Thermoregulation and Poisoning",5,"Over-activity",1,NA
"403","Duodeno-vascular fistula","GA29","1.3.4.38.6","2.3.4.38.6","3.4.38.6",0,"Gastrointestinal",4,"Trauma",6,NA
"404","Single long bone fracture","MU32","1.5.6.2.2","2.5.6.2.2","5.6.2.2",1,"Musculoskeletal",2,"Trauma",2,NA
"405","Airway obstruction by foreign body","RE48","1.1.1.30.8","2.1.1.30.8","1.1.30.8",0,"Respiratory",1,"Obstruction",8,NA
"406","Extrinsic compression of airway by abscess","RE43","1.1.1.30.2","2.1.1.30.2","1.1.30.2",0,"Respiratory",1,"Obstruction",2,NA
"407","Papillary muscle rupture","CA89","1.2.2.38.7","2.2.2.38.7","2.2.38.7",3,"Cardiovascular",2,"Trauma",7,NA
"408","Berry or other intracranial aneurysm","NE4","1.1.10.41.1","2.1.10.41.1","1.10.41.1",1,"Respiratory",10,"Vascular",1,NA
"409","Degloving injury","MU30","1.5.7.1.3","2.5.7.1.3","5.7.1.3",1,"Dermatological",1,"Trauma",3,NA
"410","Instrumental damage to carotid or vertebral artery","NE19","1.2.9.38.2","2.2.9.38.2","2.9.38.2",1,"Cardiovascular",9,"Trauma",2,NA
"411","Cystic fibrosis","RE28","1.1.2.8.1","2.1.2.8.1","1.2.8.1",1,"Respiratory",2,"Congenital or acquired deformity or abnormality",1,NA
"412","Instrumental damage to pancreatic duct","GA60","1.3.9.38.2","2.3.9.38.2","3.9.38.2",1,"Gastrointestinal",9,"Trauma",2,NA
"413","Cystitis,  pyocystis or urethritis","GE18","1.7.2.27.1","2.7.2.27.1","7.2.27.1",0,"Genito-urinary",2,"Infection",1,NA
"414","Transfusion reaction","HA34","1.9.1.14.8","2.9.1.14.8","9.1.14.8",0,"Haematological/Immunological",1,"Haemolysis or thrombocytopaenia",8,NA
"415","Hirschsprung's disease","GA45","1.3.6.8.2","2.3.6.8.2","3.6.8.2",0,"Gastrointestinal",6,"Congenital or acquired deformity or abnormality",2,NA
"416","AV canal defect","CA1","1.2.2.8.7","2.2.2.8.7","2.2.8.7",1,"Cardiovascular",2,"Congenital or acquired deformity or abnormality",7,NA
"417","Chronic lymphocytic leukaemia","HA7","1.9.2.39.3","2.9.2.39.3","9.2.39.3",0,"Haematological/Immunological",2,"Tumour or malignancy",3,NA
"418","Gangrenous gall bladder","GA33","1.3.7.41.1","2.3.7.41.1","3.7.41.1",0,"Gastrointestinal",7,"Vascular",1,NA
"419","Instrumental damage to large bowel","GA57","1.3.6.38.3","2.3.6.38.3","3.6.38.3",0,"Gastrointestinal",6,"Trauma",3,NA
"420","Visceral artery stenosis or occlusion","CA127","1.2.8.30.8","2.2.8.30.8","2.8.30.8",1,"Cardiovascular",8,"Obstruction",8,NA
"421","Degenerative myopathy","MU2","1.10.3.9.1","2.10.3.9.1","10.3.9.1",0,"Musculoskeletal",3,"Degeneration",1,NA
"422","Chronic angina","CA23","1.2.1.30.3","2.2.1.30.3","2.1.30.3",0,"Cardiovascular",1,"Obstruction",3,NA
"423","Spinal stenosis","NE34","1.4.3.8.2","2.4.3.8.2","4.3.8.2",0,"Neurological (including eyes)",3,"Congenital or acquired deformity or abnormality",2,NA
"424","Diaphragmatic hernia","RE30","1.1.5.8.3","2.1.5.8.3","1.5.8.3",2,"Respiratory",5,"Congenital or acquired deformity or abnormality",3,NA
"425","Ocular tumour","NE52","1.4.1.39.3","2.4.1.39.3","4.1.39.3",0,"Neurological (including eyes)",1,"Tumour or malignancy",3,NA
"426","Post-radiotherapy pneumonitis or fibrosis","RE97","1.1.4.31.13","2.1.4.31.13","1.4.31.13",0,"Respiratory",4,"Oedema, inflammation, fibrosis or inhalation",13,NA
"427","Leaking small bowel anastomosis","GA77","1.3.5.38.4","2.3.5.38.4","3.5.38.4",0,"Gastrointestinal",5,"Trauma",4,NA
"428","Accidental poisoning with narcotics","EN49","1.6.8.1.2","2.6.8.1.2","6.8.1.2",1,"Endocrine, Metabolic, Thermoregulation and Poisoning",8,"Accidental intoxication or poisoning",2,NA
"429","Truncus arteriosus","CA119","1.1.3.8.5","2.1.3.8.5","1.3.8.5",2,"Respiratory",3,"Congenital or acquired deformity or abnormality",5,NA
"430","Toxic shock syndrome","GE51","1.7.3.27.3","2.7.3.27.3","7.3.27.3",0,"Genito-urinary",3,"Infection",3,NA
"431","Abdominal wound dehiscence","GA1","1.3.10.38.2","2.3.10.38.2","3.10.38.2",0,"Gastrointestinal",10,"Trauma",2,NA
"432","Ectopic pregnancy","GE19","1.7.4.15.3","2.7.4.15.3","7.4.15.3",0,"Genito-urinary",4,"Haemorrhage",3,NA
"433","Toxic epidermal necrolysis","DE15","1.11.1.27.2","2.11.1.27.2","11.1.27.2",1,"Dermatological",1,"Infection",2,NA
"434","Allograft","GE8","1.7.1.37.1","2.7.1.37.1","7.1.37.1",0,"Genito-urinary",1,"Transplant or related",1,NA
"435","Coarctation of the aorta","CA28","1.2.6.8.1","2.2.6.8.1","2.6.8.1",1,"Cardiovascular",6,"Congenital or acquired deformity or abnormality",1,NA
"436","Self poisoning with agent not defined","EN97","1.6.8.34.13","2.6.8.34.13","6.8.34.13",1,"Endocrine, Metabolic, Thermoregulation and Poisoning",8,"Self intoxication or self poisoning",13,NA
"437","Peri- and postpartum haemorrhage","GE37","1.7.4.15.2","2.7.4.15.2","7.4.15.2",0,"Genito-urinary",4,"Haemorrhage",2,NA
"438","Vasculitis of cerebral circulation","NE40","1.1.10.41.5","2.1.10.41.5","1.10.41.5",2,"Respiratory",10,"Vascular",5,NA
"439","Vascular ring","RE104","1.1.1.30.14","2.1.1.30.14","1.1.30.14",1,"Respiratory",1,"Obstruction",14,NA
"440","Instrumental damage to kidney  ureter or vessels","GE61","1.5.5.1.4","2.5.5.1.4","5.5.1.4",1,"Genito-urinary",1,"Trauma",4,NA
"441","Bleeding from limb vessel","CA17","1.2.10.15.1","2.2.10.15.1","2.10.15.1",0,"Cardiovascular",10,"Haemorrhage",1,NA
"442","Spontaneous splenic rupture","GA126","1.3.8.38.2","2.3.8.38.2","3.8.38.2",0,"Gastrointestinal",8,"Trauma",2,NA
"443","Oedema due to venous obstruction","RE77","1.1.1.28.3","2.1.1.28.3","1.1.28.3",1,"Respiratory",1,"Inflammation",3,NA
"444","Primary peritonitis","GA110","1.3.10.27.1","2.3.10.27.1","3.10.27.1",0,"Gastrointestinal",10,"Infection",1,NA
"445","Abnormality of tricuspid valve","CA130","1.2.4.8.4","2.2.4.8.4","2.4.8.4",0,"Cardiovascular",4,"Congenital or acquired deformity or abnormality",4,NA
"446","Trauma to abdominal wall","MU34","1.3.10.38.1","2.3.10.38.1","3.10.38.1",1,"Gastrointestinal",10,"Trauma",1,NA
"447","Obstruction by foreign body","RE80","1.1.2.30.3","2.1.2.30.3","1.2.30.3",0,"Respiratory",2,"Obstruction",3,NA
"448","Tracheomalacia","RE112","1.1.1.8.4","2.1.1.8.4","1.1.8.4",0,"Respiratory",1,"Congenital or acquired deformity or abnormality",4,NA
"449","Ovarian tumour","EN56","1.7.3.39.1","2.7.3.39.1","7.3.39.1",1,"Genito-urinary",3,"Tumour or malignancy",1,NA
"450","Epistaxis","RE3","1.2.9.15.1","2.2.9.15.1","2.9.15.1",1,"Cardiovascular",9,"Haemorrhage",1,NA
"451","Hyperosmolar coma","EN31","1.8.4.10.2","2.8.4.10.2","8.4.10.2",0,"Endocrine, Metabolic, Thermoregulation and Poisoning",4,"Diabetes mellitus",2,NA
"452","Biliary tree obstruction","GA10","1.3.7.30.1","2.3.7.30.1","3.7.30.1",0,"Gastrointestinal",7,"Obstruction",1,NA
"453","Drug induced hepatitis or hepatic necrosis","GA25","1.3.7.28.4","2.3.7.28.4","3.7.28.4",0,"Gastrointestinal",7,"Inflammation",4,NA
"454","Traumatic inferior vena caval damage","CA63","1.2.11.38.2","2.2.11.38.2","2.11.38.2",0,"Cardiovascular",11,"Trauma",2,NA
"455","Mouth, mandible, pharynx, or facial bones deformity","NE25","1.1.1.8.1","2.1.1.8.1","1.1.8.1",0,"Respiratory",1,"Congenital or acquired deformity or abnormality",1,NA
"456","Entero-vascular fistula","GA30","1.3.5.15.1","2.3.5.15.1","3.5.15.1",0,"Gastrointestinal",5,"Haemorrhage",1,NA
"457","Duodenal fistula","GA97","1.3.4.38.7","2.3.4.38.7","3.4.38.7",0,"Gastrointestinal",4,"Trauma",7,NA
"458","Inferior vena caval obstruction or thrombosis","CA64","1.2.11.30.2","2.2.11.30.2","2.11.30.2",0,"Cardiovascular",11,"Obstruction",2,NA
"459","Upper airway bleeding not defined","RE85","1.1.1.15.2","2.1.1.15.2","1.1.15.2",0,"Respiratory",1,"Haemorrhage",2,NA
"460","Mesothelioma","RE74","1.1.5.39.1","2.1.5.39.1","1.5.39.1",0,"Respiratory",5,"Tumour or malignancy",1,NA
"461","Cor pulmonale","CA33","1.1.3.19.3","2.1.3.19.3","1.3.19.3",2,"Respiratory",3,"Hypertension",3,NA
"462","Pleural thickening or calcification","RE92","1.1.5.8.1","2.1.5.8.1","1.5.8.1",0,"Respiratory",5,"Congenital or acquired deformity or abnormality",1,NA
"463","Endocarditis of tricuspid valve","CA39","1.2.4.27.4","2.2.4.27.4","2.4.27.4",0,"Cardiovascular",4,"Infection",4,NA
"464","Chronic degeneration of tricuspid valve","CA27","1.2.4.9.4","2.2.4.9.4","2.4.9.4",0,"Cardiovascular",4,"Degeneration",4,NA
"465","Haemorrhage from urethra","GE23","1.7.2.15.1","2.7.2.15.1","7.2.15.1",0,"Genito-urinary",2,"Haemorrhage",1,NA
"466","Traumatic damage to pulmonary vessels","RE39","1.1.3.38.1","2.1.3.38.1","1.3.38.1",1,"Respiratory",3,"Trauma",1,NA
"467","Graft vs Host disease","HA13","1.9.2.37.2","2.9.2.37.2","9.2.37.2",0,"Haematological/Immunological",2,"Transplant or related",2,NA
"468","Heat-stroke or heat exhaustion","EN28","1.8.7.20.3","2.8.7.20.3","8.7.20.3",0,"Endocrine, Metabolic, Thermoregulation and Poisoning",7,"Hyperthermia",3,NA
"469","Haemorrhage or haematoma from muscles or connective tissue","MU38","1.5.6.3.4","2.5.6.3.4","5.6.3.4",1,"Musculoskeletal",3,"Trauma",4,NA
"470","Thoracoplasty","RE111","1.1.9.8.1","2.1.9.8.1","1.9.8.1",0,"Respiratory",9,"Congenital or acquired deformity or abnormality",1,NA
"471","Neurogenic pulmonary oedema","RE76","1.1.4.31.11","2.1.4.31.11","1.4.31.11",0,"Respiratory",4,"Oedema, inflammation, fibrosis or inhalation",11,NA
"472","Flail sternum","RE23","1.1.9.38.2","2.1.9.38.2","1.9.38.2",0,"Respiratory",9,"Trauma",2,NA
"473","Erythema multiforme","DE4","1.11.1.28.5","2.11.1.28.5","11.1.28.5",0,"Dermatological",1,"Inflammation",5,NA
"474","Nephrotic syndrome","GE32","1.7.1.28.2","2.7.1.28.2","7.1.28.2",0,"Genito-urinary",1,"Inflammation",2,NA
"475","CAPD related peritonitis","GA16","1.3.10.27.3","2.3.10.27.3","3.10.27.3",1,"Gastrointestinal",10,"Infection",3,NA
"476","Hypoglycaemia not due to excess insulin","EN53","1.8.8.22.3","2.8.8.22.3","8.8.22.3",0,"Endocrine, Metabolic, Thermoregulation and Poisoning",8,"Hypoglycaemia",3,NA
"477","Large bowel fistula","GA68","1.3.6.38.5","2.3.6.38.5","3.6.38.5",0,"Gastrointestinal",6,"Trauma",5,NA
"478","Non-accidental injury to muscles or connective tissue","MU36","1.5.6.3.3","2.5.6.3.3","5.6.3.3",0,"Musculoskeletal",3,"Trauma",3,NA
"479","Secondary tumour of bone","MU22","1.10.2.39.2","2.10.2.39.2","10.2.39.2",0,"Musculoskeletal",2,"Tumour or malignancy",2,NA
"480","Abnormality of bladder or urinary diversion procedure","GE1","1.7.2.8.1","2.7.2.8.1","7.2.8.1",0,"Genito-urinary",2,"Congenital or acquired deformity or abnormality",1,NA
"481","Instrumental damage to myocardium","CA68","1.2.2.38.2","2.2.2.38.2","2.2.38.2",0,"Cardiovascular",2,"Trauma",2,NA
"482","Small bowel intussusception","GA122","1.3.5.30.4","2.3.5.30.4","3.5.30.4",0,"Gastrointestinal",5,"Obstruction",4,NA
"483","Instrumental damage to liver or biliary tree","GA58","1.3.7.38.3","2.3.7.38.3","3.7.38.3",0,"Gastrointestinal",7,"Trauma",3,NA
"484","Milk-alkali syndrome","EN47","1.8.8.42.3","2.8.8.42.3","8.8.42.3",0,"Endocrine, Metabolic, Thermoregulation and Poisoning",8,"Hypercalcaemia",3,NA
"485","Infective enteritides","GA51","1.3.5.27.1","2.3.5.27.1","3.5.27.1",0,"Gastrointestinal",5,"Infection",1,NA
"486","Testicular prostatatic or penile abscess","GE3","1.7.5.27.2","2.7.5.27.2","7.5.27.2",0,"Genito-urinary",5,"Infection",2,NA
"487","Haemorrhage from ovary or fallopian tubes","GE22","1.7.3.15.2","2.7.3.15.2","7.3.15.2",0,"Genito-urinary",3,"Haemorrhage",2,NA
"488","Septicaemia","HA29","1.9.1.27.4","2.9.1.27.4","9.1.27.4",0,"Haematological/Immunological",1,"Infection",4,NA
"489","Hodgkin's lymphoma","HA18","1.9.2.39.5","2.9.2.39.5","9.2.39.5",0,"Haematological/Immunological",2,"Tumour or malignancy",5,NA
"490","Traumatic pneumothorax","RE95","1.1.5.38.2","2.1.5.38.2","1.5.38.2",0,"Respiratory",5,"Trauma",2,NA
"491","Schizophrenia","PS8","1.12.1.51.1","2.12.1.51.1","12.1.51.1",0,"Psychiatric",1,"Schizophrenia",1,NA
"492","Turner's syndrome (XO)","EN83","1.8.11.46.1","2.8.11.46.1","8.11.46.1",0,"Endocrine, Metabolic, Thermoregulation and Poisoning",11,"Sex chromosome disorders",1,NA
"493","Traumatic rupture or puncture of upper limb artery","CA118","1.2.10.38.1","2.2.10.38.1","2.10.38.1",0,"Cardiovascular",10,"Trauma",1,NA
"494","Hypersplenism","GA47","1.3.8.39.1","2.3.8.39.1","3.8.39.1",0,"Gastrointestinal",8,"Tumour or malignancy",1,NA
"495","Uterine cavity infection","GE56","1.7.3.27.1","2.7.3.27.1","7.3.27.1",0,"Genito-urinary",3,"Infection",1,NA
"496","Large bowel artery stenosis or occlusion","GA67","1.3.6.41.1","2.3.6.41.1","3.6.41.1",0,"Gastrointestinal",6,"Vascular",1,NA
"497","Acute bronchitis or laryngotracheobronchitis","RE1","1.1.2.27.1","2.1.2.27.1","1.2.27.1",0,"Respiratory",2,"Infection",1,NA
"498","Self poisoning with aspirin","EN93","1.6.8.34.6","2.6.8.34.6","6.8.34.6",1,"Endocrine, Metabolic, Thermoregulation and Poisoning",8,"Self intoxication or self poisoning",6,NA
"499","Bronchial tumour","RE15","1.1.2.39.1","2.1.2.39.1","1.2.39.1",0,"Respiratory",2,"Tumour or malignancy",1,NA
"500","Infected artificial pacemaker","CA57","1.2.5.27.1","2.2.5.27.1","2.5.27.1",0,"Cardiovascular",5,"Infection",1,NA
"501","Urethral tumour","GE55","1.7.2.39.2","2.7.2.39.2","7.2.39.2",0,"Genito-urinary",2,"Tumour or malignancy",2,NA
"502","Hydatid disease","GA46","1.3.7.27.5","2.3.7.27.5","3.7.27.5",0,"Gastrointestinal",7,"Infection",5,NA
"503","Parathyroid tumour","EN60","1.8.5.39.1","2.8.5.39.1","8.5.39.1",0,"Endocrine, Metabolic, Thermoregulation and Poisoning",5,"Tumour or malignancy",1,NA
"504","Central hypoventilation (Ondine's curse)","NE7","1.1.10.8.7","2.1.10.8.7","1.10.8.7",1,"Respiratory",10,"Congenital or acquired deformity or abnormality",7,NA
"505","Non-accidental injury to brain","NE28","1.1.10.38.4","2.1.10.38.4","1.10.38.4",2,"Respiratory",10,"Trauma",4,NA
"506","Primary retroperitoneal malignancy","GA111","1.3.10.39.1","2.3.10.39.1","3.10.39.1",0,"Gastrointestinal",10,"Tumour or malignancy",1,NA
"507","Colonic or rectal bleeding","GA21","1.3.6.15.1","2.3.6.15.1","3.6.15.1",0,"Gastrointestinal",6,"Haemorrhage",1,NA
"508","Adrenocortical tumours","EN6","1.8.3.39.2","2.8.3.39.2","8.3.39.2",0,"Endocrine, Metabolic, Thermoregulation and Poisoning",3,"Tumour or malignancy",2,NA
"509","Vasculitis not defined","MU13","1.10.3.28.7","2.10.3.28.7","10.3.28.7",0,"Musculoskeletal",3,"Inflammation",7,NA
"510","Self poisoning with gases (not carbon monoxide)","EN77","1.6.8.34.12","2.6.8.34.12","6.8.34.12",1,"Endocrine, Metabolic, Thermoregulation and Poisoning",8,"Self intoxication or self poisoning",12,NA
"511","Drug induced haemolysis","HA10","1.9.1.14.2","2.9.1.14.2","9.1.14.2",0,"Haematological/Immunological",1,"Haemolysis or thrombocytopaenia",2,NA
"512","Multiple long bone fractures","MU7","1.5.6.2.3","2.5.6.2.3","5.6.2.3",1,"Musculoskeletal",2,"Trauma",3,NA
"513","Occlusive aortic or iliac disease","CA87","1.2.7.30.1","2.2.7.30.1","2.7.30.1",0,"Cardiovascular",7,"Obstruction",1,NA
"514","Alcohol dependence","PS1","1.12.1.48.1","2.12.1.48.1","12.1.48.1",0,"Psychiatric",1,"Alcohol or drug dependence",1,NA
"515","Head or neck tumour not intra-oral or intra-cranial","RE54","1.1.1.39.1","2.1.1.39.1","1.1.39.1",1,"Respiratory",1,"Tumour or malignancy",1,NA
"516","Malignant hyperpyrexia","EN46","1.8.7.20.1","2.8.7.20.1","8.7.20.1",0,"Endocrine, Metabolic, Thermoregulation and Poisoning",7,"Hyperthermia",1,NA
"517","Lung collapse due to pneumothorax","RE115","1.1.4.6.4","2.1.4.6.4","1.4.6.4",0,"Respiratory",4,"Collapse",4,NA
"518","Neurosis disorder","PS6","1.12.1.50.1","2.12.1.50.1","12.1.50.1",0,"Psychiatric",1,"Neurosis or personality disorder",1,NA
"519","Rejection of kidney transplant","GE64","1.7.1.37.3","2.7.1.37.3","7.1.37.3",0,"Genito-urinary",1,"Transplant or related",3,NA
"520","Drug, procedure or transfusion induced bronchospasm in non-asthmatic","RE32","1.1.2.30.2","2.1.2.30.2","1.2.30.2",0,"Respiratory",2,"Obstruction",2,NA
"521","Ischaemic ventricular septal defect","CA71","1.2.2.8.4","2.2.2.8.4","2.2.8.4",2,"Cardiovascular",2,"Congenital or acquired deformity or abnormality",4,NA
"522","Klinefelter's syndrome (XXY)","EN86","1.8.11.46.2","2.8.11.46.2","8.11.46.2",0,"Endocrine, Metabolic, Thermoregulation and Poisoning",11,"Sex chromosome disorders",2,NA
"523","Inborn errors of metabolism","EN40","1.8.10.45.1","2.8.10.45.1","8.10.45.1",0,"Endocrine, Metabolic, Thermoregulation and Poisoning",10,"Inborn errors of metabolism",1,NA
"524","Ventricular aneurysm","CA138","1.2.2.8.17","2.2.2.8.17","2.2.8.17",0,"Cardiovascular",2,"Congenital or acquired deformity or abnormality",17,NA
"525","Endocarditis of pulmonary valve","CA38","1.2.4.27.3","2.2.4.27.3","2.4.27.3",0,"Cardiovascular",4,"Infection",3,NA
"526","Iatrogenic hyponatraemia","EN37","1.8.8.24.2","2.8.8.24.2","8.8.24.2",0,"Endocrine, Metabolic, Thermoregulation and Poisoning",8,"Hyponatraemia",2,NA
"527","Drug induced hypoplasia","HA11","1.9.2.25.2","2.9.2.25.2","9.2.25.2",0,"Haematological/Immunological",2,"Hypoplasia or dysplasia",2,NA
"528","Primary or secondary tumour of muscle or connective tissue","MU15","1.10.3.39.1","2.10.3.39.1","10.3.39.1",0,"Musculoskeletal",3,"Tumour or malignancy",1,NA
"529","Accelerated or malignant hypertension","CA6","1.2.12.19.1","2.2.12.19.1","2.12.19.1",0,"Cardiovascular",12,"Hypertension",1,NA
"530","Trauma to tricuspid valve","CA112","1.2.4.38.4","2.2.4.38.4","2.4.38.4",0,"Cardiovascular",4,"Trauma",4,NA
"531","Large bowel tumour","GA74","1.3.6.30.5","2.3.6.30.5","3.6.30.5",1,"Gastrointestinal",6,"Obstruction",5,NA
"532","Primary hepatic tumour","GA109","1.3.7.39.1","2.3.7.39.1","3.7.39.1",0,"Gastrointestinal",7,"Tumour or malignancy",1,NA
"533","Chronic degeneration of pulmonary valve","CA26","1.2.4.9.3","2.2.4.9.3","2.4.9.3",0,"Cardiovascular",4,"Degeneration",3,NA
"534","Toxic myopathy","CA107","1.2.2.28.1","2.2.2.28.1","2.2.28.1",0,"Cardiovascular",2,"Inflammation",1,NA
"535","Morbid obesity","EN48","1.8.9.29.1","2.8.9.29.1","8.9.29.1",0,"Endocrine, Metabolic, Thermoregulation and Poisoning",9,"Obesity",1,NA
"536","Pancreatic bleeding","GA144","1.3.9.15.1","2.3.9.15.1","3.9.15.1",0,"Gastrointestinal",9,"Haemorrhage",1,NA
"537","Primary tumour of bone","MU17","1.10.2.39.1","2.10.2.39.1","10.2.39.1",0,"Musculoskeletal",2,"Tumour or malignancy",1,NA
"538","Drowning (fresh or salt water)","RE31","1.1.4.31.8","2.1.4.31.8","1.4.31.8",0,"Respiratory",4,"Oedema, inflammation, fibrosis or inhalation",8,NA
"539","Infected arterio-venous shunt or fistula","CA91","1.2.12.27.3","2.2.12.27.3","2.12.27.3",1,"Cardiovascular",12,"Infection",3,NA
"540","Cystic liver disease","GA102","1.3.7.8.3","2.3.7.8.3","3.7.8.3",0,"Gastrointestinal",7,"Congenital or acquired deformity or abnormality",3,NA
"541","Carcinoma of breast","DE16","1.11.1.39.3","2.11.1.39.3","11.1.39.3",0,"Dermatological",1,"Tumour or malignancy",3,NA
"542","Hypothyroidism or myxoedema","EN36","1.8.1.40.1","2.8.1.40.1","8.1.40.1",0,"Endocrine, Metabolic, Thermoregulation and Poisoning",1,"Under-activity",1,NA
"543","Abscess of muscle or connective tissue","MU1","1.10.3.27.5","2.10.3.27.5","10.3.27.5",0,"Musculoskeletal",3,"Infection",5,NA
"544","Paraneoplastic hyponatraemia","EN57","1.8.8.24.3","2.8.8.24.3","8.8.24.3",0,"Endocrine, Metabolic, Thermoregulation and Poisoning",8,"Hyponatraemia",3,NA
"545","Lung abscess","RE66","1.1.4.27.7","2.1.4.27.7","1.4.27.7",0,"Respiratory",4,"Infection",7,NA
"546","Osteomyelitis or vertebral abscess","MU12","1.10.1.27.2","2.10.1.27.2","10.1.27.2",0,"Musculoskeletal",1,"Infection",2,NA
"547","Congenital hypoparathyroidism","EN15","1.8.5.8.1","2.8.5.8.1","8.5.8.1",1,"Endocrine, Metabolic, Thermoregulation and Poisoning",5,"Congenital or acquired deformity or abnormality",1,NA
"548","Instrumental damage to coronary arteries","CA65","1.2.1.38.2","2.2.1.38.2","2.1.38.2",0,"Cardiovascular",1,"Trauma",2,NA
